Linux 6.8.0-generic (host01) 	09/08/26 	_x86_64_	(32 CPU)

03:24:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:24:15      21    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
03:24:15      22    0.99    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   98.02
03:24:15      23    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:24:15      24    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
03:24:15      25    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
03:24:15      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:24:15      27    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:24:15      28    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:24:15      29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:24:15      30    0.98    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00   98.04
03:24:15      31    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    0.63    0.04    0.39    0.04    0.00    0.01    0.00    0.00    0.00   98.89
Average:       0    1.37    0.00    3.75    0.00    0.00    0.34    0.00    0.00    0.00   94.54
Average:       1    0.67    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   98.99
Average:       2    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
Average:       3    0.67    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.33
Average:       4    0.67    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.00
Average:       5    2.03    0.00    0.68    0.00    0.00    0.00    0.00    0.00    0.00   97.30
Average:       6    0.33    0.00    0.33    0.33    0.00    0.00    0.00    0.00    0.00   99.00
Average:       7    1.33    0.33    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.00
Average:       8    1.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.66
Average:       9    1.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   98.33
Average:      10    0.34    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   99.33
Average:      11    0.33    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   99.00
Average:      12    0.66    0.33    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.67
Average:      13    1.00    0.33    0.67    0.00    0.00    0.00    0.00    0.00    0.00   97.99
Average:      14    1.01    0.34    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.66
Average:      15    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.33
Average:      16    1.67    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   97.99
Average:      17    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
Average:      18    0.34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.66
