"Image Name","PID","Session Name","Session#","Mem Usage"
"mqsvc.exe","4064","Services","0","19,588 K"
"svchost.exe","4084","Services","0","11,508 K"
"wslservice.exe","3144","Services","0","29,320 K"
"WmiPrvSE.exe","5020","Services","0","26,928 K"
"SMSvcHost.exe","2148","Services","0","20,284 K"
"svchost.exe","4620","Services","0","14,872 K"
"svchost.exe","4904","Services","0","60,312 K"
"vmcompute.exe","5140","Services","0","10,804 K"
"taskhostw.exe","4632","Services","0","21,320 K"
"svchost.exe","2820","Services","0","10,336 K"
"svchost.exe","6296","Services","0","8,944 K"
"svchost.exe","6304","Services","0","45,480 K"
"WmiPrvSE.exe","6536","Services","0","13,668 K"
"svchost.exe","6868","Services","0","28,480 K"
"WaSecAgentProv.exe","1936","Services","0","5,252 K"
"conhost.exe","6124","Services","0","6,144 K"
"svchost.exe","6628","Services","0","26,920 K"
"svchost.exe","6668","Services","0","13,420 K"
"svchost.exe","6584","Services","0","11,504 K"
"WmiPrvSE.exe","7148","Services","0","15,188 K"
"svchost.exe","7460","Services","0","36,280 K"
"svchost.exe","7660","Services","0","9,148 K"
"csrss.exe","8028","Console","2","8,084 K"
"winlogon.exe","8096","Console","2","13,416 K"
"fontdrvhost.exe","8172","Console","2","5,988 K"
"dwm.exe","7284","Console","2","73,140 K"
"svchost.exe","1396","Services","0","11,220 K"
"DefenderSessionHelper.exe","7828","Console","2","6,368 K"
"taskhostw.exe","7768","Console","2","21,092 K"
"svchost.exe","7800","Console","2","40,916 K"
"sihost.exe","6840","Console","2","40,628 K"
"taskhostw.exe","7184","Console","2","18,032 K"
"svchost.exe","6212","Services","0","10,148 K"
"explorer.exe","556","Console","2","163,476 K"
"ShellHost.exe","6056","Console","2","43,036 K"
"svchost.exe","5284","Services","0","26,228 K"
"smartscreen.exe","836","Console","2","12,832 K"
"svchost.exe","1772","Services","0","8,688 K"
"StartMenuExperienceHost.exe","2688","Console","2","136,868 K"
"SearchHost.exe","900","Console","2","116,456 K"
"RuntimeBroker.exe","1056","Console","2","54,372 K"
"svchost.exe","5788","Console","2","30,588 K"
"svchost.exe","8188","Services","0","27,084 K"
"ctfmon.exe","8668","Console","2","26,124 K"
"svchost.exe","9128","Services","0","16,912 K"
"UserOOBEBroker.exe","9204","Console","2","11,492 K"
"AzureArcSysTray.exe","9100","Console","2","20,008 K"
"WmiPrvSE.exe","7272","Services","0","12,948 K"
"hosted-compute-agent","608","Console","2","20,480 K"
"conhost.exe","7836","Console","2","10,008 K"
"OpenConsole.exe","9076","Console","2","14,504 K"
"WindowsTerminal.exe","6880","Console","2","86,888 K"
"provjobd.exe3010926735","912","Console","2","25,396 K"
"SecurityHealthService.exe","8656","Services","0","11,868 K"
"ServiceFabricLocalClusterManager.exe","1032","Console","2","36,624 K"
"svchost.exe","2128","Services","0","20,560 K"
"svchost.exe","6724","Services","0","9,304 K"
"svchost.exe","3396","Services","0","14,648 K"
"svchost.exe","7300","Services","0","9,040 K"
"msdtc.exe","5516","Services","0","14,292 K"
"sppsvc.exe","7440","Services","0","14,964 K"
"svchost.exe","968","Services","0","18,116 K"
"Runner.Listener.exe","7076","Console","2","72,508 K"
"svchost.exe","1968","Services","0","14,848 K"
"Runner.Worker.exe","2552","Console","2","92,580 K"
"conhost.exe","7900","Console","2","6,876 K"
"svchost.exe","5724","Services","0","26,392 K"
"svchost.exe","7968","Console","2","18,892 K"
"MoUsoCoreWorker.exe","6060","Services","0","24,116 K"
"pwsh.exe","8428","Console","2","86,440 K"
"cmd.exe","4684","Console","2","4,640 K"
"tasklist.exe","7364","Console","2","11,656 K"
