PID	Status	Label
-	0	com.apple.naturallanguaged
-	0	com.apple.netauth.user.gui
-	0	com.apple.watchlistd
378	0	com.apple.xtyped
-	0	com.apple.TMHelperAgent
455	0	com.apple.Spotlight
564	0	com.apple.appstoreagent
-	0	com.apple.AMPDevicesAgent
2373	0	com.apple.accessibility.mediaaccessibilityd
-	0	com.apple.cvmsCompAgent3425AMD_x86_64_1
-	0	com.apple.mdworker.sizing
-	0	com.apple.SpeechRecognitionCore.brokerd
529	0	com.apple.metadata.mdbulkimport
-	0	com.apple.iokit.IOServiceAuthorizeAgent
-	0	com.apple.cvmsCompAgent3600_arm64
1004	0	com.apple.WorkflowKit.ShortcutsViewService
354	0	com.apple.carboncore.csnameddata
-	0	com.apple.mdworker.application
475	0	com.apple.contactsd
-	0	com.apple.cvmsCompAgent3600_x86_64
-	0	com.apple.speech.speechsynthesisd.arm64
-	0	com.apple.CoreRoutine.helperservice
320	0	com.apple.distnoted.xpc.agent
461	0	com.apple.geod
